param_type,width_multiplier,step,rng_seed,post_encoder,ssm_state_0,ssm_output_0,ssm_post_gelu_0,ssm_post_glu_0,output
muP_SSM,8,10,142925,0.37822017,0.021235103,0.33641735,0.1475905,0.060924996,0.09382266
muP_SSM,8,100,142925,0.3767438,0.02107031,0.33375046,0.14653657,0.060095727,0.10403966
muP_SSM,8,1,127652,0.30610222,0.01824503,0.22775333,0.117996015,0.04147331,0.029240128
muP_SSM,8,10,127652,0.3059393,0.01823776,0.22752796,0.117897645,0.041384645,0.025080737
muP_SSM,8,100,127652,0.3041385,0.018139616,0.22530545,0.117250815,0.040993858,0.024475122
muP_SSM,8,1,683486,0.41945893,0.026994163,0.32853758,0.1604502,0.07419642,0.037801452
muP_SSM,8,10,683486,0.41937307,0.02699299,0.32841927,0.16045624,0.074209385,0.036650848
muP_SSM,8,100,683486,0.4177199,0.026953686,0.32704422,0.1606004,0.074615374,0.03387696
muP_SSM,8,1,645902,0.30316713,0.018036703,0.2645084,0.13032062,0.06695711,0.07374638
muP_SSM,8,10,645902,0.3032499,0.018035347,0.2646667,0.13035971,0.06694545,0.06599235
muP_SSM,8,100,645902,0.3031006,0.018015396,0.26511803,0.13061185,0.06737951,0.026176628
muP_SSM,8,1,305033,0.36436722,0.022755215,0.278407,0.15467122,0.07707139,0.04133792
muP_SSM,8,10,305033,0.36422825,0.022750223,0.2782821,0.15472446,0.07706227,0.03829888
muP_SSM,8,100,305033,0.36262417,0.02268217,0.27737597,0.15543881,0.077422775,0.031685732
muP_SSM,16,1,319935,0.5330013,0.028530857,0.50696594,0.21718177,0.098730706,0.06750714
muP_SSM,16,10,319935,0.53312206,0.028506454,0.5070344,0.21723649,0.098642886,0.054361988
muP_SSM,16,100,319935,0.5339132,0.02839438,0.50969726,0.21877997,0.10227922,0.053447433
muP_SSM,16,1,499896,0.44260964,0.030804582,0.33588043,0.16359301,0.07294411,0.05417084
muP_SSM,16,10,499896,0.44263062,0.030805508,0.33595383,0.16361153,0.07296242,0.049253978
muP_SSM,16,100,499896,0.443055,0.030812621,0.33790022,0.16463885,0.074083254,0.02214166
muP_SSM,16,1,230528,0.36907148,0.025462696,0.32188183,0.18216054,0.07802718,0.05968484
muP_SSM,16,10,230528,0.3691183,0.02546078,0.32190803,0.18222775,0.07805314,0.05303645
