param_type,width_multiplier,step,rng_seed,conv_layers.0,conv_layers.1,conv_layers.2,logits
muP_SSM,2,1,361168,0.08479786,0.039013986,0.019385219,0.019829042
muP_SSM,2,10,361168,0.08477094,0.039285768,0.02174809,0.1204533
muP_SSM,2,100,361168,0.15430658,0.27778748,0.7248711,20.78748
muP_SSM,2,1,935601,0.0892058,0.03522813,0.019046277,0.01429261
muP_SSM,2,10,935601,0.0893777,0.03494632,0.019186685,0.109718524
muP_SSM,2,100,935601,0.0949222,0.04645262,0.07856515,1.5547163
muP_SSM,2,1,579757,0.08398442,0.028811045,0.02558329,0.043505445
muP_SSM,2,10,579757,0.08405694,0.028929938,0.025339171,0.14441489
muP_SSM,2,100,579757,0.09420245,0.068412274,0.15432762,3.2478766
muP_SSM,2,1,33933,0.10392514,0.0369277,0.02425421,0.053453766
muP_SSM,2,10,33933,0.103971615,0.037293512,0.026278626,0.14476058
muP_SSM,2,100,33933,0.24470581,0.677856,2.27596,57.48006
muP_SSM,2,1,105533,0.10099573,0.03564029,0.023410762,0.025951225
muP_SSM,2,10,105533,0.10100896,0.035294212,0.02416683,0.07526368
muP_SSM,2,100,105533,0.12876654,0.1176008,0.22510433,5.5409684
muP_SSM,2,1,868204,0.10544387,0.030798279,0.023145054,0.02950922
muP_SSM,2,10,868204,0.10545724,0.031060815,0.02377168,0.063585795
muP_SSM,2,100,868204,0.11484138,0.07475202,0.12267238,2.0872416
muP_SSM,2,1,31785,0.097761296,0.050447866,0.022671979,0.056406952
muP_SSM,2,10,31785,0.09774167,0.05066503,0.024681903,0.15332425
muP_SSM,2,100,31785,nan,nan,nan,nan
muP_SSM,4,1,248248,0.11359981,0.03114803,0.014792066,0.041052513
muP_SSM,4,10,248248,0.11371151,0.03171697,0.014751554,0.13372831
muP_SSM,4,100,248248,0.123278186,0.074842334,0.117719345,2.2026527
muP_SSM,4,1,855255,0.08671797,0.025424596,0.016434237,0.0441963
muP_SSM,4,10,855255,0.08672577,0.02548079,0.01770084,0.14217196
muP_SSM,4,100,855255,0.10377424,0.11155555,0.257967,6.006325
muP_SSM,4,1,371749,0.12875037,0.04062251,0.019278403,0.005962224
muP_SSM,4,10,371749,0.12885147,0.040944394,0.020696215,0.08946359
muP_SSM,4,100,371749,0.18881899,0.26320925,0.48993546,10.939229
muP_SSM,4,1,361168,0.0850787,0.0305358,0.014662493,0.0127442265
muP_SSM,4,10,361168,0.08510316,0.030614147,0.015684046,0.10753412
muP_SSM,4,100,361168,0.090369985,0.05257317,0.10977581,2.0512455
