param_type,width_multiplier,rng_seed,post_encoder,ssm_state_0,ssm_output_0,ssm_post_gelu_0,ssm_post_glu_0,ssm_state_1,ssm_output_1,ssm_post_gelu_1,ssm_post_glu_1,output
muP_3,16,2,0.26007876,0.10028707,0.50319886,0.27896732,0.2534899,0.06856287,0.3780251,0.19981284,0.16281754,0.3864132
muP_3,16,3,0.26306975,0.08386803,0.55092895,0.31704122,0.27778533,0.061600234,0.42098242,0.24303576,0.19404013,0.46844313
muP_3,16,4,0.2824083,0.11365998,0.5585128,0.32086924,0.27903536,0.07471233,0.46148062,0.26561248,0.2090652,0.49407318
muP_3,16,5,0.27973983,0.11565093,0.6483611,0.3275217,0.29331875,0.059329595,0.41986877,0.23351188,0.19196764,0.45255324
muP_3,16,6,0.28264877,0.06447143,0.36247543,0.20026909,0.20108184,0.038582254,0.28839433,0.15275349,0.13216431,0.33818847
muP_3,16,7,0.27313963,0.10350445,0.5342816,0.33161062,0.30112988,0.08541403,0.52332425,0.27730805,0.21193416,0.46939296
muP_3,16,8,0.28860053,0.09912277,0.54865384,0.3168356,0.2623836,0.076305315,0.4265132,0.2220851,0.18404037,0.4295844
muP_3,16,9,0.2722074,0.1061158,0.6822636,0.40594494,0.30638438,0.07599403,0.49388888,0.2770804,0.22352603,0.4715898
muP_3,32,0,0.26757503,0.061364133,0.41682753,0.24473374,0.24436907,0.039852813,0.36442205,0.19181013,0.1581639,0.38341004
muP_3,32,1,0.2920053,0.07650957,0.53116816,0.30041644,0.25831938,0.044048745,0.35516915,0.1961848,0.1695178,0.40398443
muP_3,32,2,0.2822698,0.056343403,0.36390808,0.20657527,0.2032806,0.041766234,0.33330235,0.17822269,0.14291497,0.36156008
muP_3,32,3,0.2783383,0.07285891,0.55811834,0.32845786,0.27534953,0.04070666,0.3647591,0.20768213,0.17658366,0.4323338
muP_3,32,4,0.29181486,0.08508039,0.5424017,0.30626243,0.27977145,0.043913476,0.3708152,0.20060617,0.1725381,0.42039245
muP_3,32,5,0.27873653,0.07553191,0.46012515,0.27648994,0.24852169,0.045718007,0.3625723,0.18768188,0.15413566,0.39021003
muP_3,32,6,0.2786067,0.06374871,0.48340505,0.26420373,0.22462906,0.035705645,0.3042936,0.16923088,0.1491317,0.3636811
muP_3,32,7,0.27240348,0.068648204,0.42221496,0.2280767,0.2249974,0.042306576,0.34632736,0.18098031,0.14995122,0.36731464
muP_3,32,8,0.27962062,0.07070244,0.4600168,0.2614831,0.22635373,0.0451957,0.365546,0.20614128,0.1742142,0.41563538
muP_3,32,9,0.272184,0.06966266,0.47326377,0.27390492,0.2582979,0.042458057,0.3567092,0.19150566,0.15559945,0.37467387
muP_3,64,0,0.28326237,0.048347022,0.39381763,0.21471354,0.20644744,0.021039797,0.2526225,0.13299516,0.12080647,0.30700344
muP_3,64,1,0.2760709,0.043099087,0.36855474,0.21250099,0.19977668,0.02147766,0.24189033,0.12983797,0.11710188,0.30478537
muP_3,64,2,0.27598074,0.041935977,0.3774999,0.22393322,0.20676391,0.027552346,0.30909505,0.16344972,0.13966244,0.34838897
