param_type,width_multiplier,step,rng_seed,conv_layers.0,conv_layers.1,conv_layers.2,logits
muP_SSM,2,100,100404,0.17776127,1.6109717,6.5895696,133.86308
muP_SSM,2,1,681526,0.0014065246,0.0028209875,0.0016787477,0.0075997002
muP_SSM,2,10,681526,0.013365867,0.030622676,0.01944067,0.0960332
muP_SSM,2,100,681526,0.27271417,1.908981,6.904675,135.25198
muP_SSM,2,1,323688,0.0011045998,0.004039817,0.0014023295,0.007435359
muP_SSM,2,10,323688,0.009771087,0.037054926,0.016138753,0.09147284
muP_SSM,2,100,323688,0.2543423,2.2602487,6.472907,125.001465
muP_SSM,2,1,326432,0.0010049063,0.002138753,0.001329346,0.007187512
muP_SSM,2,10,326432,0.00907765,0.023157708,0.016270708,0.08857794
muP_SSM,2,100,326432,0.18016975,1.3505439,5.6353617,113.20807
muP_SSM,2,1,847974,0.0009806623,0.0030335332,0.0016575535,0.008083692
muP_SSM,2,10,847974,0.009565768,0.02918021,0.020043978,0.10676058
muP_SSM,2,100,847974,0.17121047,1.514827,9.032317,184.80415
muP_SSM,2,1,501950,0.00076606625,0.0038426889,0.0016505623,0.007958901
muP_SSM,2,10,501950,0.005993229,0.033704296,0.017449811,0.0918027
muP_SSM,2,100,501950,0.11913215,1.5289017,9.720268,200.9984
muP_SSM,2,1,729293,0.00074104656,0.0032001957,0.0013169916,0.007830821
muP_SSM,2,10,729293,0.0064987154,0.031923104,0.014530215,0.08633031
muP_SSM,2,100,729293,0.10273365,1.5998585,4.728137,95.21665
muP_SSM,2,1,830064,0.00078571524,0.002039458,0.0013194578,0.006777663
muP_SSM,2,10,830064,0.006445919,0.017556606,0.012350103,0.06854752
muP_SSM,2,100,830064,0.12524973,0.44796294,1.5216851,28.90635
muP_SSM,2,1,433236,0.0010933537,0.002583936,0.0012770226,0.007473035
muP_SSM,2,10,433236,0.00885242,0.024888659,0.014278484,0.09161205
muP_SSM,2,100,433236,0.21357241,2.2908435,10.409013,205.59267
muP_SSM,2,1,154621,0.0009748388,0.0036137074,0.0017684547,0.008561432
muP_SSM,2,10,154621,0.008452058,0.031391792,0.017543435,0.098525524
muP_SSM,2,100,154621,0.18590203,1.4194877,7.9068,153.70168
muP_SSM,4,1,100404,0.0008535331,0.0032341175,0.0014402954,0.0061696023
muP_SSM,4,10,100404,0.0073067644,0.031905785,0.01607984,0.07342745
muP_SSM,4,100,100404,0.14625199,1.4258201,4.8445015,97.894844
muP_SSM,4,1,681526,0.0013220188,0.002860102,0.0012119554,0.0058123358
muP_SSM,4,10,681526,0.011285424,0.02830212,0.0127786035,0.067820996
muP_SSM,4,100,681526,0.252448,1.8417958,5.8438606,117.68174
muP_SSM,4,1,323688,0.0012578712,0.0031524512,0.0016036488,0.0067630447
muP_SSM,4,10,323688,0.009739836,0.031598788,0.01795737,0.07960328
muP_SSM,4,100,323688,0.2367931,1.9744823,7.0153847,138.64044
muP_SSM,4,1,326432,0.0009181475,0.0020510724,0.0012407159,0.005417511
muP_SSM,4,10,326432,0.007763724,0.020885833,0.0136272665,0.0639814
muP_SSM,4,100,326432,0.15882058,1.7174169,7.4413004,145.22194
muP_SSM,4,1,847974,0.0009130032,0.002926978,0.0014747484,0.0065330323
muP_SSM,4,10,847974,0.0074342336,0.026854578,0.017747713,0.07934492
muP_SSM,4,100,847974,0.15472361,1.8673428,8.3162,167.79922
muP_SSM,4,1,501950,0.0008221534,0.0028722486,0.0014123097,0.0062282286
muP_SSM,4,10,501950,0.0062106787,0.025745172,0.015120163,0.07095739
muP_SSM,4,100,501950,0.14187984,1.5067642,8.439028,172.26045
muP_SSM,4,1,729293,0.00079804397,0.0024300774,0.0011860844,0.0057837516
muP_SSM,4,10,729293,0.0070221545,0.024082948,0.012853183,0.06688503
muP_SSM,4,100,729293,0.12692994,1.0672575,3.388063,67.68383
muP_SSM,4,1,830064,0.00075803377,0.002419485,0.001302358,0.006430477
muP_SSM,4,10,830064,0.006076939,0.02215474,0.013642507,0.071958095
muP_SSM,4,100,830064,0.13152732,1.1494536,4.8934584,99.15067
muP_SSM,4,1,433236,0.0009716638,0.0030054608,0.001441065,0.0068547036
muP_SSM,4,10,433236,0.008049835,0.028679468,0.015612709,0.0795511
muP_SSM,4,100,433236,0.14812973,1.412517,5.744003,115.95024
muP_SSM,4,1,154621,0.00093088637,0.0031377398,0.0013713656,0.0070784613
muP_SSM,4,10,154621,0.008361084,0.034654744,0.017329965,0.09163115
muP_SSM,4,100,154621,0.15965131,1.872193,9.153065,186.34256
muP_SSM,8,1,100404,0.0009183835,0.0031193832,0.0014464711,0.0060832985
muP_SSM,8,10,100404,0.008427166,0.030196179,0.016804278,0.07501176
muP_SSM,8,100,100404,0.15198041,1.5483918,5.4763765,108.04735
muP_SSM,8,1,681526,0.0014374317,0.0036528017,0.0016408467,0.0066223927
muP_SSM,8,10,681526,0.012665968,0.03659724,0.018868733,0.0826415
muP_SSM,8,100,681526,0.25302127,1.9630634,7.966763,161.29535
muP_SSM,8,1,323688,0.001200969,0.0031585041,0.001508755,0.0061020255
muP_SSM,8,10,323688,0.009965929,0.031084064,0.0163595,0.07233262
muP_SSM,8,100,323688,0.21364154,1.6752176,7.0057483,137.01971
muP_SSM,8,1,326432,0.00088127825,0.0026004775,0.0012073285,0.0052517373
muP_SSM,8,10,326432,0.00700174,0.023975,0.012271009,0.05677423
muP_SSM,8,100,326432,0.15721063,1.4252086,6.731001,128.05194
muP_SSM,8,1,847974,0.0009110074,0.0032203817,0.0013902092,0.005858302
muP_SSM,8,10,847974,0.008018428,0.031379946,0.015985552,0.07339386
muP_SSM,8,100,847974,0.16532478,1.3301255,4.9120445,98.522224
muP_SSM,8,1,501950,0.00084785256,0.0025990799,0.0012122481,0.0054335995
muP_SSM,8,10,501950,0.006940433,0.024974069,0.013098739,0.06162522
muP_SSM,8,100,501950,0.15546669,1.4746027,6.2205367,124.75025
muP_SSM,8,1,729293,0.00078114,0.0024860587,0.001164794,0.005214574
muP_SSM,8,10,729293,0.0064484794,0.024006454,0.012757883,0.061453126
muP_SSM,8,100,729293,0.1363439,1.0997283,3.3762434,66.0185
muP_SSM,8,1,830064,0.00072779943,0.0022563953,0.0012131097,0.0049786866
muP_SSM,8,10,830064,0.00631686,0.021812847,0.013303958,0.056519635
muP_SSM,8,100,830064,0.12578404,0.9341902,3.270227,66.33454
muP_SSM,8,1,433236,0.00094656885,0.0028787463,0.0012770318,0.0060031824
muP_SSM,8,10,433236,0.0075407694,0.026725829,0.013552677,0.06934628
muP_SSM,8,100,433236,0.17053351,1.5500541,6.2986946,124.391174
muP_SSM,8,1,154621,0.0009034344,0.0031657794,0.001370361,0.0060966015
muP_SSM,8,10,154621,0.0069824443,0.028397437,0.014446424,0.071177945
muP_SSM,8,100,154621,0.17212532,1.6037585,6.2524586,124.829575
muP_SSM,16,1,100404,0.0009217432,0.0030095014,0.0012701364,0.0056571076
muP_SSM,16,10,100404,0.007890773,0.02991461,0.014973451,0.06934516
muP_SSM,16,100,100404,0.16189428,1.6044383,5.8539476,116.62633
muP_SSM,16,1,681526,0.0014891183,0.0033360703,0.001428613,0.0058581606
muP_SSM,16,10,681526,0.013282618,0.034564637,0.016678456,0.07355517
muP_SSM,16,100,681526,0.2630947,2.0246222,8.312986,166.57213
muP_SSM,16,1,323688,0.0012648893,0.0030314843,0.0014875481,0.0058989692
muP_SSM,16,10,323688,0.0103502665,0.030278714,0.016959904,0.071324304
muP_SSM,16,100,323688,0.21365099,1.7952942,7.651512,151.19962
muP_SSM,16,1,326432,0.0008804801,0.0025079693,0.0012257354,0.0049395747
muP_SSM,16,10,326432,0.007264335,0.023964902,0.013789698,0.059593663
muP_SSM,16,100,326432,0.1526619,1.4879135,6.411928,127.68462
muP_SSM,16,1,847974,0.0008726752,0.0029428464,0.0013487411,0.0055365134
muP_SSM,16,10,847974,0.007742201,0.030408805,0.016201634,0.07106633
muP_SSM,16,100,847974,0.15948394,1.4796948,6.586013,129.04153
muP_SSM,16,1,501950,0.0008541332,0.0028319908,0.0013483791,0.0053488747
muP_SSM,16,10,501950,0.0072571305,0.027488362,0.014865061,0.063265935
muP_SSM,16,100,501950,0.15416071,1.328977,5.308167,103.64213
muP_SSM,16,1,729293,0.0008151467,0.0026446586,0.0012793797,0.0050745485
muP_SSM,16,10,729293,0.006811647,0.027079232,0.014672641,0.062448166
muP_SSM,16,100,729293,0.13360327,1.2840143,4.9267654,98.25759
muP_SSM,16,1,830064,0.00075654127,0.0024073955,0.0011592901,0.0048253825
muP_SSM,16,10,830064,0.0066410573,0.024715725,0.013504187,0.060013838
muP_SSM,16,100,830064,0.13060503,1.0122728,4.199581,84.527855
muP_SSM,16,1,433236,0.0009849804,0.003067898,0.0014748292,0.0060014725
muP_SSM,16,10,433236,0.008885138,0.030024163,0.01620809,0.07172115
muP_SSM,16,100,433236,0.17971922,1.6706476,6.7552385,133.35686
muP_SSM,16,1,154621,0.0009781383,0.002877079,0.0014130927,0.0058579
muP_SSM,16,10,154621,0.008254736,0.027843269,0.015486665,0.071969256
muP_SSM,16,100,154621,0.17047407,1.5573419,6.193902,125.244
muP_SSM,32,1,100404,0.0009493711,0.002849909,0.0013693898,0.005539802
muP_SSM,32,10,100404,0.008031202,0.028263478,0.015482955,0.0678412
muP_SSM,32,100,100404,0.16001828,1.4022381,5.5992765,112.17512
muP_SSM,32,1,681526,0.0014747776,0.0033730012,0.0015422485,0.0061769662
muP_SSM,32,10,681526,0.012575414,0.0335955,0.017781705,0.07748397
muP_SSM,32,100,681526,0.26281294,2.121784,9.350189,185.0081
muP_SSM,32,1,323688,0.0011946341,0.0029341127,0.0014189727,0.0058081606
muP_SSM,32,10,323688,0.010517668,0.02950606,0.016221598,0.072119325
muP_SSM,32,100,323688,0.23375131,1.8712896,7.591284,151.01756
muP_SSM,32,1,326432,0.0008683883,0.0026009234,0.0012519595,0.004898777
muP_SSM,32,10,326432,0.007427635,0.025847007,0.014251331,0.06046574
muP_SSM,32,100,326432,0.15304504,1.3803116,5.9811883,119.20087
muP_SSM,32,1,847974,0.0008773267,0.0029020559,0.0013075855,0.0053635105
muP_SSM,32,10,847974,0.007368285,0.028861253,0.014948399,0.066991344
muP_SSM,32,100,847974,0.15696909,1.4372988,5.936681,118.82956
muP_SSM,32,1,501950,0.00086664286,0.0027606804,0.0012952016,0.004997964
muP_SSM,32,10,501950,0.0067467224,0.026529122,0.014768653,0.061372112
muP_SSM,32,100,501950,0.14420256,1.4316828,6.5752215,132.24913
muP_SSM,32,1,729293,0.00081316294,0.002899175,0.0013284297,0.0051527703
muP_SSM,32,10,729293,0.0069052503,0.028517226,0.015465116,0.066008575
muP_SSM,32,100,729293,0.14373448,1.4671986,6.1748657,121.65352
muP_SSM,32,1,830064,0.0007530699,0.002479656,0.001169855,0.004419831
muP_SSM,32,10,830064,0.0063557187,0.024453323,0.013371303,0.05533008
muP_SSM,32,100,830064,0.13095003,1.075932,4.620162,91.75876
muP_SSM,32,1,433236,0.0009874371,0.0028536136,0.0013040884,0.005507385
muP_SSM,32,10,433236,0.008507484,0.028014304,0.014562175,0.06662588
muP_SSM,32,100,433236,0.17693888,1.5365531,5.8007417,114.32993
muP_SSM,32,1,154621,0.0009559358,0.002920714,0.0013369587,0.005734427
muP_SSM,32,10,154621,0.008235753,0.029459491,0.015695898,0.07326011
muP_SSM,32,100,154621,0.16763163,1.4778686,6.3311586,124.88397
muP_SSM,64,1,100404,0.00091342616,0.0027762675,0.0012996246,0.005188222
muP_SSM,64,10,100404,0.007886244,0.027765363,0.015139106,0.06543717
muP_SSM,64,100,100404,0.16284144,1.4302411,5.7816257,114.50838
muP_SSM,64,1,681526,0.0013673921,0.0032632023,0.0015005146,0.005851104
muP_SSM,64,10,681526,0.011984361,0.032626502,0.01743737,0.07327498
muP_SSM,64,100,681526,0.25904602,2.166027,9.800434,192.9095
muP_SSM,64,1,323688,0.001234767,0.0030047863,0.0014724457,0.00587178
muP_SSM,64,10,323688,0.010338919,0.029326443,0.016156003,0.07051581
muP_SSM,64,100,323688,0.22454481,1.7508296,7.041483,140.05199
muP_SSM,64,1,326432,0.0009115406,0.0026706043,0.0012434283,0.0048034624
muP_SSM,64,10,326432,0.007843844,0.026582003,0.014317343,0.06121585
muP_SSM,64,100,326432,0.15926729,1.5890386,6.5179296,128.09451
muP_SSM,64,1,847974,0.00087761437,0.0028801626,0.0013329932,0.0051194597
muP_SSM,64,10,847974,0.007256552,0.027920492,0.015036281,0.0633627
muP_SSM,64,100,847974,0.154507,1.497701,6.514382,129.58565
muP_SSM,64,1,501950,0.00087348424,0.0027274336,0.0013191932,0.0048728366
muP_SSM,64,10,501950,0.0074368543,0.027144514,0.015294198,0.06204136
muP_SSM,64,100,501950,0.14623715,1.3990556,6.082139,121.73071
muP_SSM,64,1,729293,0.0008297658,0.0027770952,0.0012257403,0.004925832
muP_SSM,64,10,729293,0.007135654,0.027524894,0.014142166,0.061546065
muP_SSM,64,100,729293,0.14330542,1.4042081,5.8066454,114.7156
muP_SSM,64,1,830064,0.0007689208,0.0025681232,0.0012141678,0.004466237
muP_SSM,64,10,830064,0.0064053973,0.024538733,0.013513397,0.05528158
muP_SSM,64,100,830064,0.13337906,1.2576085,5.3187704,104.83727
muP_SSM,64,1,433236,0.0010143837,0.0029224637,0.0013545331,0.0056668473
muP_SSM,64,10,433236,0.008507074,0.029065238,0.015327997,0.06920139
muP_SSM,64,100,433236,0.17948426,1.5691762,6.3721848,127.06446
muP_SSM,64,1,154621,0.0009632319,0.0030118688,0.0014089164,0.0057475474
muP_SSM,64,10,154621,0.007863829,0.029760495,0.015960548,0.07109564
muP_SSM,64,100,154621,0.16692959,1.5708655,6.7234964,134.79694
muP_3,1,1,100404,0.0011640788,0.0046815476,0.0024546906,0.009362329
muP_3,1,10,100404,0.011316988,0.051082253,0.03241491,0.12688816
muP_3,1,100,100404,0.20212488,2.7612255,6.287572,112.640274
muP_3,1,1,681526,0.0015625154,0.0024012192,0.0014545182,0.0082056075
muP_3,1,10,681526,0.014857628,0.025740683,0.015173994,0.09638964
muP_3,1,100,681526,0.32070526,1.1285428,2.3622513,51.391567
muP_3,1,1,323688,0.00087941345,0.0040391833,0.0012351314,0.007491097
muP_3,1,10,323688,0.009290275,0.03202145,0.013501304,0.080595754
muP_3,1,100,323688,0.25882292,1.3592072,3.3540308,59.79289
muP_3,1,1,326432,0.0008538096,0.0028577575,0.0019239533,0.0092971325
muP_3,1,10,326432,0.009396401,0.026132053,0.017632771,0.093888424
muP_3,1,100,326432,0.16487618,1.6457919,6.188011,125.44986
muP_3,1,1,847974,0.0007616425,0.001878527,0.0014503611,0.0074392483
muP_3,1,10,847974,0.0069293245,0.021080917,0.016288297,0.090883754
muP_3,1,100,847974,0.16230069,1.3580389,6.979534,135.52483
muP_3,1,1,501950,0.0009508121,0.004662802,0.0018439939,0.011024654
muP_3,1,10,501950,0.008694985,0.04755565,0.027889444,0.15582553
muP_3,1,100,501950,0.15648209,2.2833414,16.77876,359.59418
muP_3,1,1,729293,0.0007072196,0.002648007,0.0015437518,0.0072337687
muP_3,1,10,729293,0.006609155,0.0225923,0.01553183,0.084328845
muP_3,1,100,729293,0.10751762,0.934427,3.7045658,78.74121
muP_3,1,1,830064,0.00081133505,0.002436605,0.0013966695,0.007745251
muP_3,1,10,830064,0.00679079,0.026436435,0.016374119,0.08162843
muP_3,1,100,830064,0.121964775,1.1886334,6.3189044,121.39333
muP_3,1,1,433236,0.0009375374,0.0018851168,0.0011190136,0.007329926
muP_3,1,10,433236,0.008549054,0.019955875,0.0117011145,0.08267945
muP_3,1,100,433236,0.1752188,1.4475602,5.152013,96.67921
