param_type,width_multiplier,step,rng_seed,post_encoder,ssm_state_0,ssm_output_0,ssm_post_gelu_0,ssm_post_glu_0,output
muP_SSM,8,10,706586,0.5189792,0.34478468,0.6938027,0.41333953,0.10862833,0.047039483
muP_SSM,8,100,706586,0.5237484,0.34097093,0.67981046,0.40435815,0.11006086,0.2920042
muP_SSM,8,1000,706586,0.5194635,0.48716268,0.8634902,0.5761871,0.16395901,0.608278
muP_SSM,8,1,698282,0.5902108,0.41914985,0.72199726,0.35562286,0.12867573,0.033123758
muP_SSM,8,10,698282,0.5903449,0.41915217,0.7218104,0.3555224,0.12696387,0.011427063
muP_SSM,8,100,698282,0.5911385,0.426271,0.72961444,0.36122474,0.12155843,0.17219663
muP_SSM,8,1000,698282,0.5915541,0.62268806,1.0211401,0.5412594,0.19028161,0.4460287
muP_SSM,8,1,686609,0.65298146,0.42921624,1.1441686,0.69824815,0.22496334,0.08832844
muP_SSM,8,10,686609,0.65218943,0.42623845,1.1411505,0.69584554,0.22662471,0.076473854
muP_SSM,8,100,686609,0.6409384,0.40919232,1.1260641,0.68573475,0.2515759,0.06898164
muP_SSM,8,1000,686609,0.6147671,0.5511114,1.2223125,0.7774772,0.3224158,0.18526676
muP_SSM,8,1,436241,0.76778,0.36572957,1.225048,0.7175226,0.20723403,0.050161075
muP_SSM,8,10,436241,0.76743805,0.36160013,1.2187133,0.71207714,0.20075293,0.03474423
muP_SSM,8,100,436241,0.7644305,0.34798786,1.2268347,0.7282736,0.20457926,0.074055396
muP_SSM,8,1000,436241,0.7546852,0.4837497,1.4870274,0.9967179,0.38677028,0.37404752
muP_SSM,8,1,797459,0.66773826,0.42653129,0.9966283,0.5938727,0.19496731,0.023311298
muP_SSM,8,10,797459,0.6678461,0.42886752,1.0004615,0.59538656,0.19516078,0.026222376
muP_SSM,8,100,797459,0.6689209,0.4720141,1.0703696,0.6223256,0.20024827,0.07653098
muP_SSM,8,1000,797459,0.66353685,0.9033479,1.8019131,1.121391,0.43089056,0.40620717
muP_SSM,8,1,670436,0.50700945,0.29610273,0.49242783,0.2570308,0.100563906,0.14223671
muP_SSM,8,10,670436,0.5068917,0.2958886,0.4917636,0.25582218,0.099258,0.13090599
muP_SSM,8,100,670436,0.5020431,0.29757753,0.5020383,0.26036322,0.09669098,0.09075599
muP_SSM,8,1000,670436,0.46541587,0.44409615,0.87153643,0.4789484,0.17194025,0.13021123
muP_SSM,8,1,790515,0.7136161,0.38048428,0.7759121,0.5070556,0.20770279,0.22734116
muP_SSM,8,10,790515,0.71359646,0.38234875,0.7758074,0.50693417,0.20593488,0.20214324
muP_SSM,8,100,790515,0.7118554,0.403998,0.7886313,0.5195957,0.20627247,0.0665314
muP_SSM,8,1000,790515,0.6885762,0.7491997,1.2262572,0.8281792,0.34341535,0.20604368
