param_type,width_multiplier,rng_seed,post_encoder,ssm_state_0,ssm_output_0,ssm_post_gelu_0,ssm_post_glu_0,output
muP_SSM,256,0,0.351656,0.15160726,1.76118,0.8586051,0.3454786,0.11082695
muP_SSM,256,1,0.34531614,0.09941781,0.49087483,0.2481525,0.090954944,0.01511858
muP_SSM,256,2,0.36061645,0.121986195,0.7677399,0.39822134,0.14833654,0.022140512
muP_SSM,512,0,0.35357708,0.097737625,0.508342,0.25876698,0.09468119,0.01918737
muP_SSM,512,1,0.35091364,0.09703609,0.56691974,0.29009026,0.10647408,0.01157904
muP_SSM,512,2,0.3680698,0.10762846,0.7107627,0.36500564,0.1369832,0.01069916
muP_3,1,0,0.35902876,0.13384295,0.46432278,0.13029212,0.067247935,0.012069205
muP_3,1,1,0.407056,0.017590784,0.31190726,0.17689268,0.08893018,0.022058468
muP_3,1,2,0.31218085,0.0066203447,0.12647969,0.046391703,0.09850232,0.025011687
muP_3,2,0,0.3218745,0.07633176,0.3642739,0.0763093,0.045698956,0.015750108
muP_3,2,1,0.3756338,0.058038216,0.35920694,0.20140931,0.08281158,0.019817727
muP_3,2,2,0.38038167,0.044401024,0.30995822,0.16027814,0.07993306,0.023904137
muP_3,4,0,0.29364523,0.07095904,0.3746185,0.1367893,0.053592667,0.0133621525
muP_3,4,1,0.35926807,0.026426582,0.27992362,0.15576349,0.09074844,0.010473423
muP_3,4,2,0.36194316,0.04331202,0.39054087,0.14410241,0.069260955,0.024231171
muP_3,8,0,0.33466703,0.04674046,0.31255186,0.12161373,0.05363099,0.014964801
muP_3,8,1,0.34623116,0.04520639,0.27761257,0.14402793,0.06727325,0.013471635
muP_3,8,2,0.37437928,0.049936872,0.3086222,0.12670402,0.05269422,0.022626773
muP_3,16,0,0.32714376,0.037377406,0.28703606,0.11160261,0.04573645,0.015629638
muP_3,16,1,0.35302553,0.02828275,0.25112417,0.12538236,0.0533843,0.014695684
muP_3,16,2,0.3681081,0.026388993,0.29803678,0.1233979,0.04331461,0.017094132
muP_3,32,0,0.3470559,0.018613562,0.30619502,0.14897425,0.061112303,0.015241781
muP_3,32,1,0.33152097,0.01975701,0.25477898,0.12404531,0.05096051,0.015738433
muP_3,32,2,0.37983152,0.021846827,0.32129455,0.15770343,0.06488055,0.018555788
muP_3,64,0,0.34702748,0.013736907,0.29001278,0.14649975,0.060342737,0.016452475
muP_3,64,1,0.34526706,0.016182141,0.27820984,0.13696265,0.05254955,0.015519549
muP_3,64,2,0.35703826,0.01564154,0.29091752,0.1448615,0.054363422,0.016833613
muP_3,128,0,0.35345334,0.009056626,0.27753207,0.13742773,0.054028854,0.016656308
muP_3,128,1,0.3432974,0.009964147,0.26885945,0.13033395,0.048533324,0.014758521
muP_3,128,2,0.3582102,0.010166452,0.2878052,0.15062678,0.058724876,0.017575465
muP_3,256,0,0.35130337,0.006540385,0.27644914,0.13899635,0.05424789,0.016478723
muP_3,256,1,0.34391922,0.005796991,0.27443296,0.13565116,0.05272953,0.015147572
muP_3,256,2,0.35926846,0.0065788906,0.28586617,0.1488715,0.058447152,0.017129049
muP_3,512,0,0.35260415,0.004127664,0.2763599,0.14020465,0.055790093,0.015788179
muP_3,512,1,0.35015586,0.0039788866,0.2805509,0.14185941,0.05730435,0.016013373
muP_3,512,2,0.3589127,0.0041506696,0.28620544,0.14504586,0.056822862,0.017370857
standard,1,0,0.35902876,0.13384295,0.46432278,0.13029212,0.067247935,0.012069205
standard,1,1,0.407056,0.017590784,0.31190726,0.17689268,0.08893018,0.022058468
standard,1,2,0.31218085,0.0066203447,0.12647969,0.046391703,0.09850232,0.025011687
standard,2,0,0.32189822,0.076205686,0.36276945,0.076497935,0.04544074,0.018352719
standard,2,1,0.37393725,0.057630844,0.35605228,0.19898798,0.08043758,0.025212243
standard,2,2,0.37954083,0.044103943,0.30903804,0.15987393,0.07918404,0.024714015
standard,4,0,0.29572564,0.071929626,0.38609982,0.14391488,0.05531859,0.014981874
standard,4,1,0.36046508,0.026557736,0.28246373,0.1574754,0.0941161,0.008641788
standard,4,2,0.36256263,0.043636657,0.3919742,0.14478198,0.06915266,0.026013514
standard,8,0,0.3368571,0.049963716,0.32144085,0.13079552,0.057167687,0.019120786
standard,8,1,0.3508952,0.0461314,0.28760976,0.15126067,0.07154372,0.013934232
standard,8,2,0.37423533,0.0493694,0.3054802,0.12604475,0.052553672,0.022971068
standard,16,0,0.3312641,0.039032377,0.29986325,0.121583395,0.050521914,0.019047035
standard,16,1,0.3568582,0.028820321,0.2631831,0.13553919,0.056755513,0.021370556
standard,16,2,0.37162992,0.026856232,0.30753013,0.13451323,0.049086004,0.020367458
standard,32,0,0.35328826,0.018988332,0.32345644,0.16676562,0.07377808,0.02230652
standard,32,1,0.34036425,0.019886164,0.2737556,0.14193916,0.05916883,0.017500723
standard,32,2,0.3870211,0.022071652,0.34029362,0.17754592,0.081283994,0.0487533
